Sample_ID;Pressure_kPa;NozzleSpeed_mms;Zoffset_mm
0;110;13;0.7
1;130;9;0.5
2;120;12;0.8
3;100;10;0.7
4;100;6;0.7
5;70;14;0.5
6;70;7;0.5
7;120;11;0.8
8;130;15;0.8
9;80;6;0.5
10;110;13;0.6
11;130;6;0.8
12;120;13;0.4
13;90;11;0.7
14;70;9;0.9
15;150;7;0.6
16;140;15;0.8
17;70;6;0.4
18;140;11;0.5
19;80;10;0.9
20;150;9;0.6
21;110;6;0.7
22;130;14;0.6
23;160;11;0.9
24;130;11;0.7
25;110;8;0.7
26;140;13;0.4
27;60;7;0.5
28;70;11;0.5
29;120;15;0.8
30;130;13;0.9
31;110;9;0.5
32;130;10;0.5
33;150;8;0.4
34;130;12;0.4
35;100;14;0.4
36;80;10;0.6
37;110;7;0.6
38;60;8;0.8
39;90;6;0.5
40;140;13;0.8
41;80;13;0.8
42;80;12;0.5
43;150;15;0.5
44;80;12;0.7
45;100;5;0.7
46;90;10;0.6
47;140;15;0.6
48;80;9;0.7
49;110;8;0.6
50;60;14;0.9
51;70;8;0.7
52;100;14;0.5
53;80;7;0.5
54;150;12;0.9
55;60;5;0.8
56;150;9;0.5
57;70;14;0.8
58;140;6;0.7
59;120;5;0.7
60;110;14;0.6
61;120;11;0.9
62;90;12;0.6
63;90;14;0.7
64;60;12;0.6
65;110;5;0.8
66;130;10;0.6
67;160;11;0.7
68;140;11;0.7
69;120;13;0.8
70;150;10;0.6
71;160;13;0.6
72;160;12;0.4
73;70;7;0.7
74;130;8;0.8
75;100;8;0.8
76;70;11;0.8
77;70;8;0.8
78;90;10;0.9
79;120;8;0.7
80;110;14;0.5
81;120;9;0.8
82;140;12;0.7
83;140;7;0.8
84;90;12;0.9
85;160;6;0.5
86;100;5;0.8
87;80;9;0.4
88;90;10;0.4
89;100;9;0.6
90;120;7;0.6
91;100;6;0.6
92;90;14;0.6
93;150;8;0.9
